random_sampler_compression,space_based_compression,voxel_based_compression,percentage_of_minor_classes_retained
0.42,0.725,0.525,0.51
0.75,0.525,0.625,0.67
0.61,0.525,0.525,0.57
0.51,0.625,0.825,0.63
0.68,0.525,0.225,0.51
0.31,0.125,0.925,0.46
0.43,0.225,0.625,0.45
0.36,0.625,0.825,0.55
0.5,0.125,0.425,0.4
0.3,0.925,0.625,0.52
0.72,0.325,0.625,0.61
0.56,0.525,0.425,0.51
0.5,0.125,0.425,0.4
0.51,0.825,0.325,0.52
0.33,0.325,0.825,0.48
0.52,0.225,0.525,0.46
0.58,0.625,0.425,0.54
0.32,0.725,0.825,0.55
0.46,0.625,0.425,0.48
0.3,0.225,0.625,0.38
0.76,0.425,0.725,0.68
0.77,0.625,0.625,0.7
0.64,0.225,0.525,0.52
0.5,0.125,0.925,0.55
0.55,0.925,0.725,0.68
0.77,0.625,0.325,0.61
0.72,0.325,0.325,0.52
0.54,0.425,0.925,0.63
0.43,0.725,0.725,0.58
0.68,0.325,0.825,0.65
0.44,0.925,0.825,0.65
0.65,0.725,0.925,0.75
0.63,0.925,0.725,0.72
0.68,0.625,0.425,0.59
0.59,0.325,0.525,0.52
0.48,0.225,0.425,0.41
0.65,0.325,0.525,0.55
0.32,0.125,0.325,0.28
0.54,0.525,0.625,0.56
0.72,0.425,0.925,0.72
0.63,0.325,0.325,0.48
0.52,0.425,0.525,0.5
0.41,0.125,0.525,0.39
0.59,0.325,0.825,0.61
0.55,0.625,0.825,0.65
0.71,0.125,0.125,0.42
0.41,0.825,0.525,0.53
0.41,0.625,0.225,0.4
0.75,0.425,0.825,0.71
0.56,0.725,0.725,0.64
0.4,0.325,0.525,0.42
0.48,0.125,0.825,0.51
0.71,0.525,0.125,0.5
0.56,0.825,0.825,0.69
0.52,0.125,0.925,0.56
0.39,0.925,0.125,0.42
0.43,0.325,0.225,0.35
0.32,0.525,0.925,0.54
0.63,0.325,0.925,0.66
0.5,0.725,0.925,0.67
0.65,0.725,0.325,0.57
0.64,0.725,0.925,0.74
0.71,0.125,0.925,0.66
0.53,0.325,0.225,0.4
0.57,0.625,0.125,0.45
0.54,0.825,0.125,0.47
0.38,0.125,0.325,0.31
0.36,0.825,0.525,0.5
0.35,0.225,0.825,0.47
0.43,0.425,0.825,0.55
0.33,0.725,0.725,0.53
0.4,0.225,0.825,0.49
0.51,0.425,0.125,0.38
0.38,0.525,0.325,0.39
0.71,0.125,0.625,0.57
0.58,0.825,0.425,0.58
0.57,0.625,0.525,0.57
0.5,0.225,0.125,0.33
0.64,0.225,0.525,0.52
0.57,0.225,0.725,0.55
0.42,0.225,0.225,0.32
0.64,0.125,0.225,0.41
0.68,0.825,0.625,0.69
0.44,0.325,0.525,0.44
0.39,0.625,0.525,0.48
0.79,0.225,0.225,0.51
0.74,0.825,0.725,0.75
0.61,0.425,0.825,0.64
0.73,0.625,0.725,0.71
0.65,0.425,0.925,0.69
0.64,0.625,0.625,0.63
0.44,0.325,0.125,0.32
0.36,0.425,0.125,0.3
0.66,0.425,0.425,0.54
0.76,0.325,0.225,0.51
0.56,0.625,0.525,0.56
0.75,0.425,0.725,0.68
0.55,0.225,0.725,0.54
0.67,0.225,0.925,0.66
0.37,0.625,0.925,0.59
0.48,0.525,0.725,0.56
0.64,0.425,0.525,0.56
0.71,0.925,0.325,0.64
0.56,0.125,0.225,0.37
0.42,0.725,0.725,0.57
0.66,0.925,0.725,0.73
0.67,0.925,0.925,0.8
0.57,0.525,0.225,0.46
0.42,0.625,0.925,0.61
0.75,0.325,0.425,0.57
0.63,0.825,0.225,0.55
0.39,0.625,0.825,0.57
0.39,0.525,0.725,0.52
0.71,0.625,0.325,0.58
0.78,0.825,0.725,0.77
0.5,0.525,0.925,0.63
0.67,0.425,0.725,0.64
0.55,0.325,0.725,0.56
0.79,0.825,0.225,0.63
0.4,0.625,0.825,0.57
0.59,0.725,0.925,0.72
0.48,0.625,0.225,0.43
0.51,0.825,0.425,0.55
0.69,0.925,0.325,0.63
0.6,0.225,0.325,0.44
0.42,0.825,0.325,0.47
0.38,0.125,0.625,0.4
0.54,0.525,0.325,0.47
0.68,0.525,0.325,0.54
0.78,0.625,0.825,0.76
0.7,0.525,0.925,0.73
0.65,0.825,0.325,0.59
0.55,0.725,0.925,0.7
0.64,0.725,0.825,0.71
0.72,0.525,0.425,0.59
0.72,0.825,0.325,0.62
0.8,0.225,0.925,0.72
0.54,0.225,0.125,0.35
0.71,0.625,0.425,0.61
0.37,0.325,0.425,0.38
0.71,0.325,0.925,0.7
0.76,0.325,0.625,0.63
0.39,0.825,0.225,0.43
0.77,0.625,0.825,0.76
0.76,0.825,0.725,0.76
0.77,0.425,0.325,0.57
0.56,0.425,0.425,0.49
0.44,0.725,0.525,0.52
0.58,0.825,0.125,0.49
0.79,0.325,0.425,0.59
0.58,0.525,0.925,0.67
0.36,0.525,0.625,0.47
0.74,0.425,0.225,0.52
0.44,0.925,0.625,0.59
0.54,0.525,0.125,0.41
0.71,0.425,0.525,0.6
0.44,0.725,0.125,0.4
0.72,0.125,0.825,0.63
0.45,0.625,0.925,0.63
0.42,0.925,0.125,0.43
0.64,0.325,0.325,0.48
0.46,0.325,0.625,0.48
0.59,0.325,0.725,0.58
0.51,0.625,0.425,0.51
0.55,0.625,0.525,0.56
0.66,0.825,0.725,0.71
0.31,0.225,0.125,0.24
0.38,0.925,0.225,0.44
0.32,0.225,0.725,0.42
0.46,0.825,0.225,0.46
0.42,0.625,0.525,0.49
0.76,0.325,0.525,0.6
0.33,0.125,0.725,0.41
0.66,0.725,0.125,0.51
0.52,0.325,0.725,0.54
0.34,0.625,0.525,0.45
0.74,0.725,0.825,0.76
0.66,0.925,0.425,0.64
0.75,0.325,0.325,0.54
0.5,0.625,0.325,0.47
0.54,0.125,0.825,0.54
0.7,0.825,0.225,0.58
0.5,0.925,0.425,0.56
0.65,0.525,0.425,0.56
0.3,0.825,0.525,0.47
0.36,0.225,0.425,0.35
0.73,0.925,0.825,0.8
0.46,0.425,0.325,0.41
0.53,0.725,0.825,0.66
0.72,0.825,0.725,0.74
0.59,0.625,0.325,0.52
0.72,0.525,0.425,0.59
0.39,0.525,0.925,0.58
0.58,0.425,0.825,0.62
0.61,0.825,0.425,0.6
0.58,0.525,0.325,0.49
0.66,0.725,0.925,0.75
0.61,0.825,0.825,0.72
0.73,0.825,0.625,0.72
0.55,0.425,0.525,0.52
0.54,0.725,0.625,0.6
0.64,0.825,0.525,0.64
0.39,0.825,0.525,0.52
0.6,0.325,0.525,0.52
0.52,0.625,0.325,0.48
0.38,0.825,0.825,0.6
0.49,0.925,0.525,0.59
0.37,0.925,0.125,0.41
0.41,0.225,0.325,0.35
0.54,0.125,0.925,0.57
0.31,0.625,0.125,0.32
0.79,0.225,0.125,0.48
0.42,0.925,0.325,0.49
0.47,0.425,0.925,0.6
0.31,0.825,0.725,0.54
0.57,0.325,0.225,0.42
0.52,0.125,0.725,0.5
0.34,0.725,0.125,0.35
0.69,0.525,0.825,0.7
0.38,0.525,0.925,0.57
0.77,0.725,0.425,0.66
0.63,0.925,0.225,0.57
0.5,0.925,0.125,0.47
0.6,0.725,0.625,0.63
0.64,0.825,0.825,0.73
0.8,0.625,0.125,0.56
0.32,0.125,0.625,0.37
0.76,0.225,0.425,0.55
0.66,0.925,0.525,0.67
0.34,0.725,0.725,0.53
0.49,0.225,0.525,0.45
0.7,0.825,0.825,0.76
0.38,0.425,0.225,0.34
0.5,0.825,0.925,0.69
0.56,0.325,0.325,0.44
0.31,0.725,0.125,0.34
0.59,0.925,0.925,0.76
0.51,0.725,0.525,0.56
0.59,0.925,0.625,0.67
0.43,0.225,0.425,0.39
0.68,0.225,0.325,0.48
0.63,0.625,0.125,0.48
0.46,0.125,0.825,0.5
0.48,0.825,0.225,0.47
0.33,0.725,0.425,0.44
0.62,0.325,0.625,0.56
0.74,0.425,0.125,0.49
0.7,0.225,0.725,0.61
0.48,0.625,0.525,0.52
0.55,0.825,0.825,0.69
0.62,0.925,0.325,0.59
0.59,0.425,0.325,0.48
0.39,0.225,0.225,0.31
0.49,0.325,0.725,0.53
0.44,0.425,0.125,0.34
0.57,0.425,0.925,0.65
0.32,0.325,0.125,0.26
0.31,0.525,0.325,0.36
0.71,0.225,0.825,0.65
0.69,0.725,0.325,0.59
0.52,0.525,0.525,0.52
0.49,0.925,0.225,0.5
0.52,0.225,0.425,0.43
0.66,0.625,0.225,0.52
0.43,0.925,0.625,0.59
0.64,0.125,0.325,0.44
0.79,0.625,0.925,0.8
0.79,0.625,0.425,0.65
0.45,0.425,0.725,0.53
0.33,0.925,0.425,0.48
0.79,0.925,0.125,0.62
0.72,0.525,0.725,0.68
0.58,0.725,0.925,0.71
0.32,0.325,0.425,0.35
0.56,0.225,0.425,0.45
0.78,0.125,0.425,0.54
0.37,0.225,0.425,0.36
0.64,0.925,0.425,0.63
0.46,0.425,0.525,0.47
0.5,0.325,0.125,0.35
0.77,0.625,0.925,0.79
0.4,0.925,0.825,0.63
0.75,0.425,0.225,0.53
0.67,0.325,0.825,0.65
0.52,0.225,0.525,0.46
0.57,0.325,0.725,0.57
0.68,0.425,0.725,0.64
0.52,0.725,0.325,0.5
0.48,0.925,0.525,0.58
0.41,0.225,0.125,0.29
0.77,0.925,0.125,0.61
0.52,0.225,0.925,0.58
0.43,0.425,0.325,0.4
0.72,0.725,0.225,0.57
0.67,0.225,0.825,0.63
0.47,0.325,0.425,0.43
0.77,0.725,0.325,0.63
0.56,0.225,0.125,0.36
0.75,0.425,0.325,0.56
0.41,0.725,0.525,0.51
0.66,0.825,0.625,0.68
0.36,0.525,0.525,0.44
0.52,0.525,0.125,0.4
0.6,0.125,0.125,0.36
0.78,0.825,0.325,0.65
0.63,0.525,0.325,0.52
0.32,0.725,0.525,0.46
0.33,0.325,0.725,0.45
0.65,0.425,0.625,0.6
0.36,0.325,0.925,0.52
0.42,0.625,0.425,0.46
0.57,0.325,0.625,0.54
0.4,0.925,0.225,0.45
0.31,0.725,0.425,0.43
0.75,0.325,0.625,0.63
0.65,0.325,0.225,0.46
0.62,0.125,0.425,0.46
0.76,0.225,0.925,0.7
0.37,0.525,0.225,0.36
0.51,0.325,0.425,0.45
0.73,0.225,0.925,0.69
0.43,0.725,0.325,0.46
0.68,0.725,0.725,0.7
0.34,0.625,0.225,0.36
0.33,0.125,0.725,0.41
0.41,0.825,0.825,0.62
0.66,0.925,0.525,0.67
0.35,0.625,0.225,0.37
0.36,0.625,0.925,0.58
0.53,0.525,0.525,0.53
0.79,0.925,0.525,0.74
0.34,0.725,0.725,0.53
0.56,0.125,0.125,0.34
0.43,0.525,0.825,0.57
0.73,0.925,0.825,0.8
0.37,0.225,0.925,0.51
0.66,0.725,0.125,0.51
0.6,0.125,0.725,0.54
0.38,0.725,0.625,0.52
0.8,0.625,0.325,0.62
0.77,0.925,0.225,0.64
0.46,0.825,0.325,0.49
0.72,0.325,0.825,0.67
0.74,0.425,0.525,0.61
0.58,0.125,0.825,0.56
0.33,0.525,0.325,0.37
0.58,0.625,0.925,0.69
0.43,0.425,0.325,0.4
0.54,0.325,0.525,0.49
0.63,0.225,0.925,0.64
0.72,0.525,0.725,0.68
0.67,0.725,0.225,0.55
0.43,0.325,0.325,0.38
0.72,0.825,0.625,0.71
0.76,0.325,0.525,0.6
0.57,0.325,0.725,0.57
0.64,0.725,0.225,0.53
0.4,0.225,0.425,0.37
0.77,0.125,0.625,0.6
0.47,0.225,0.525,0.44
0.3,0.825,0.825,0.56
0.42,0.525,0.125,0.35
0.34,0.925,0.825,0.6
0.4,0.825,0.625,0.55
0.56,0.725,0.625,0.61
0.37,0.625,0.725,0.53
0.64,0.425,0.925,0.68
0.56,0.525,0.925,0.66
0.36,0.125,0.625,0.39
0.55,0.225,0.725,0.54
0.78,0.925,0.425,0.7
0.72,0.225,0.125,0.44
0.5,0.825,0.525,0.57
0.33,0.925,0.125,0.39
0.43,0.825,0.525,0.54
0.65,0.225,0.225,0.44
0.47,0.525,0.625,0.53
0.72,0.625,0.625,0.67
0.53,0.325,0.125,0.37
0.5,0.425,0.625,0.52
0.3,0.225,0.525,0.35
0.56,0.525,0.725,0.6
0.51,0.925,0.625,0.63
0.44,0.625,0.825,0.59
0.34,0.625,0.725,0.51
0.45,0.825,0.625,0.58
0.77,0.725,0.225,0.6
0.5,0.125,0.525,0.43
0.69,0.225,0.225,0.46
0.64,0.425,0.625,0.59
0.74,0.725,0.225,0.58
0.52,0.125,0.425,0.41
0.44,0.325,0.125,0.32
0.8,0.925,0.225,0.65
0.65,0.425,0.625,0.6
0.48,0.825,0.425,0.53
0.73,0.225,0.225,0.48
0.36,0.825,0.525,0.5
0.7,0.325,0.225,0.48
0.64,0.125,0.425,0.47
0.45,0.525,0.725,0.55
0.64,0.425,0.425,0.53
0.52,0.125,0.825,0.53
0.78,0.525,0.225,0.56
0.61,0.325,0.625,0.56
0.64,0.225,0.225,0.43
0.46,0.525,0.425,0.46
0.39,0.425,0.825,0.53
0.58,0.525,0.325,0.49
0.38,0.225,0.525,0.39
0.33,0.725,0.525,0.47
0.78,0.725,0.225,0.6
0.31,0.225,0.225,0.27
0.45,0.625,0.825,0.6
0.43,0.625,0.425,0.47
0.65,0.825,0.825,0.74
0.35,0.125,0.325,0.3
0.66,0.425,0.725,0.63
0.59,0.825,0.925,0.74
0.3,0.625,0.925,0.55
0.65,0.425,0.325,0.51
0.7,0.525,0.925,0.73
0.64,0.325,0.625,0.57
0.34,0.625,0.225,0.36
0.47,0.325,0.925,0.58
0.55,0.825,0.725,0.66
0.48,0.825,0.625,0.59
0.8,0.325,0.225,0.53
0.34,0.625,0.525,0.45
0.8,0.125,0.725,0.64
0.32,0.825,0.825,0.57
0.33,0.725,0.225,0.38
0.76,0.825,0.725,0.76
0.78,0.525,0.625,0.68
0.72,0.625,0.425,0.61
0.4,0.125,0.825,0.47
0.61,0.725,0.625,0.64
0.69,0.125,0.125,0.41
0.54,0.525,0.425,0.5
0.36,0.625,0.525,0.46
0.53,0.425,0.125,0.39
0.37,0.325,0.125,0.29
0.47,0.225,0.525,0.44
0.45,0.425,0.625,0.5
0.53,0.325,0.625,0.52
0.33,0.425,0.925,0.53
0.35,0.725,0.725,0.54
0.71,0.825,0.525,0.68
0.41,0.725,0.525,0.51
0.34,0.525,0.225,0.34
0.76,0.625,0.125,0.54
0.5,0.925,0.425,0.56
0.51,0.125,0.725,0.5
0.42,0.225,0.225,0.32
0.64,0.725,0.225,0.53
0.66,0.325,0.525,0.55
0.59,0.525,0.825,0.65
0.54,0.325,0.625,0.52
0.61,0.725,0.325,0.55
0.32,0.925,0.125,0.38
0.33,0.925,0.925,0.63
0.36,0.925,0.925,0.64
0.61,0.725,0.225,0.52
0.73,0.225,0.525,0.57
0.6,0.625,0.525,0.58
0.6,0.525,0.425,0.53
0.8,0.725,0.325,0.64
0.78,0.325,0.325,0.55
0.58,0.825,0.225,0.52
0.58,0.625,0.625,0.6
0.45,0.225,0.525,0.43
0.68,0.325,0.925,0.68
0.46,0.525,0.325,0.43
0.69,0.125,0.425,0.5
0.51,0.325,0.225,0.39
0.7,0.425,0.425,0.56
0.42,0.325,0.125,0.31
0.78,0.925,0.525,0.73
0.78,0.825,0.125,0.59
0.48,0.225,0.125,0.32
0.8,0.825,0.725,0.78
0.64,0.125,0.925,0.62
0.65,0.225,0.325,0.47
0.41,0.825,0.425,0.5
0.6,0.525,0.925,0.68
0.36,0.625,0.425,0.43
0.44,0.225,0.125,0.3
0.75,0.925,0.325,0.66
0.43,0.625,0.925,0.62
0.41,0.525,0.425,0.44
0.74,0.525,0.125,0.51
0.74,0.325,0.325,0.53
0.55,0.325,0.325,0.44
0.79,0.125,0.925,0.7
0.64,0.125,0.225,0.41
0.73,0.825,0.425,0.66
0.35,0.225,0.125,0.26
0.72,0.825,0.225,0.59
0.37,0.325,0.925,0.53
0.58,0.725,0.725,0.65
0.77,0.525,0.925,0.77
0.63,0.225,0.925,0.64
0.59,0.925,0.725,0.7
0.68,0.425,0.325,0.52
0.42,0.425,0.725,0.51
0.78,0.725,0.825,0.78
0.32,0.525,0.625,0.45
0.32,0.425,0.625,0.43
0.51,0.525,0.225,0.43
0.77,0.625,0.625,0.7
0.41,0.925,0.225,0.46
0.75,0.425,0.825,0.71
0.52,0.125,0.225,0.35
0.45,0.325,0.125,0.33
0.38,0.325,0.825,0.5
0.37,0.625,0.725,0.53
0.49,0.125,0.725,0.49
0.31,0.825,0.825,0.57
0.33,0.225,0.525,0.37
0.33,0.825,0.725,0.55
0.76,0.925,0.425,0.69
0.31,0.725,0.525,0.46
0.33,0.925,0.225,0.42
0.76,0.225,0.125,0.46
0.39,0.725,0.225,0.41
0.45,0.225,0.325,0.37
0.61,0.725,0.325,0.55
0.76,0.225,0.825,0.67
0.38,0.625,0.725,0.53
0.4,0.425,0.825,0.53
0.71,0.225,0.225,0.47
0.45,0.925,0.825,0.66
0.6,0.425,0.225,0.45
0.37,0.825,0.625,0.54
0.74,0.725,0.225,0.58
0.33,0.225,0.925,0.49
0.72,0.325,0.925,0.7
0.78,0.225,0.725,0.65
0.64,0.425,0.225,0.47
0.35,0.525,0.925,0.56
0.54,0.225,0.825,0.56
0.39,0.425,0.825,0.53
0.37,0.225,0.925,0.51
0.62,0.525,0.625,0.6
0.75,0.625,0.725,0.72
0.4,0.225,0.925,0.52
0.59,0.525,0.725,0.62
0.41,0.925,0.825,0.64
0.75,0.325,0.525,0.6
0.64,0.425,0.425,0.53
0.59,0.825,0.825,0.71
0.59,0.325,0.125,0.4
0.73,0.325,0.525,0.59
0.7,0.725,0.125,0.53
0.67,0.825,0.125,0.54
0.69,0.825,0.825,0.76
0.79,0.425,0.725,0.7
0.64,0.225,0.525,0.52
0.74,0.825,0.225,0.6
0.71,0.125,0.625,0.57
0.61,0.725,0.425,0.58
0.52,0.125,0.725,0.5
0.78,0.225,0.825,0.68
0.6,0.425,0.625,0.57
0.4,0.625,0.925,0.6
0.52,0.425,0.525,0.5
0.7,0.725,0.225,0.56
0.79,0.125,0.125,0.46
0.77,0.525,0.925,0.77
0.45,0.725,0.425,0.5
0.46,0.225,0.425,0.4
0.35,0.625,0.225,0.37
0.67,0.325,0.725,0.62
0.53,0.925,0.825,0.7
0.71,0.425,0.325,0.54
0.55,0.225,0.225,0.39
0.43,0.325,0.725,0.5
0.31,0.325,0.525,0.38
0.67,0.525,0.925,0.72
0.79,0.725,0.625,0.73
0.63,0.425,0.525,0.56
0.64,0.425,0.125,0.44
0.4,0.625,0.325,0.42
0.43,0.125,0.925,0.52
0.78,0.525,0.425,0.62
0.68,0.725,0.425,0.61
0.45,0.125,0.425,0.38
0.36,0.925,0.725,0.58
0.36,0.125,0.525,0.36
0.74,0.225,0.325,0.51
0.46,0.925,0.225,0.48
0.43,0.325,0.825,0.53
0.31,0.125,0.125,0.22
0.7,0.425,0.725,0.65
0.38,0.925,0.125,0.41
0.66,0.625,0.725,0.67
0.62,0.425,0.325,0.49
0.53,0.325,0.725,0.55
0.43,0.825,0.125,0.42
0.72,0.825,0.925,0.8
0.54,0.925,0.125,0.49
0.56,0.525,0.825,0.63
0.38,0.625,0.125,0.35
0.38,0.525,0.725,0.51
0.74,0.525,0.725,0.69
0.42,0.525,0.725,0.53
0.35,0.925,0.925,0.64
0.38,0.825,0.925,0.63
0.56,0.625,0.525,0.56
0.35,0.125,0.625,0.39
0.45,0.625,0.225,0.42
0.54,0.825,0.625,0.62
0.6,0.525,0.425,0.53
0.33,0.525,0.325,0.37
0.49,0.325,0.625,0.5
0.35,0.325,0.425,0.37
0.6,0.625,0.625,0.61
0.61,0.525,0.325,0.51
0.41,0.525,0.725,0.53
0.47,0.225,0.825,0.53
0.75,0.825,0.625,0.73
0.37,0.925,0.525,0.53
0.73,0.825,0.425,0.66
0.38,0.225,0.325,0.33
0.63,0.125,0.525,0.5
0.69,0.725,0.225,0.56
0.58,0.625,0.825,0.66
0.7,0.425,0.625,0.62
0.72,0.225,0.725,0.62
0.31,0.425,0.725,0.46
0.49,0.225,0.325,0.39
0.44,0.725,0.825,0.61
0.41,0.325,0.325,0.37
0.52,0.425,0.325,0.44
0.33,0.725,0.425,0.44
0.55,0.225,0.825,0.57
0.68,0.925,0.125,0.56
0.65,0.725,0.825,0.72
0.79,0.625,0.125,0.56
0.62,0.525,0.325,0.51
0.37,0.125,0.325,0.31
0.3,0.125,0.425,0.3
0.37,0.525,0.225,0.36
0.36,0.525,0.925,0.56
0.48,0.525,0.525,0.5
0.38,0.925,0.225,0.44
0.79,0.825,0.225,0.63
0.47,0.125,0.525,0.42
0.66,0.325,0.325,0.49
0.43,0.825,0.325,0.48
0.6,0.825,0.525,0.62
0.72,0.825,0.825,0.77
0.53,0.725,0.325,0.51
0.34,0.625,0.425,0.42
0.68,0.925,0.425,0.65
0.41,0.525,0.425,0.44
0.62,0.625,0.525,0.59
0.45,0.425,0.825,0.56
0.65,0.125,0.925,0.63
0.77,0.125,0.625,0.6
0.42,0.225,0.125,0.29
0.54,0.825,0.425,0.56
0.73,0.325,0.525,0.59
0.64,0.325,0.725,0.6
0.4,0.825,0.725,0.58
0.54,0.825,0.125,0.47
0.67,0.425,0.525,0.58
0.48,0.525,0.625,0.53
0.49,0.125,0.925,0.55
0.49,0.825,0.725,0.63
0.41,0.425,0.325,0.39
0.4,0.225,0.625,0.43
0.61,0.525,0.925,0.69
0.35,0.425,0.325,0.36
0.73,0.625,0.425,0.62
0.74,0.925,0.525,0.71
0.62,0.325,0.725,0.59
0.35,0.225,0.525,0.38
0.3,0.725,0.425,0.42
0.62,0.825,0.925,0.75
0.41,0.925,0.625,0.58
0.58,0.925,0.625,0.66
0.48,0.125,0.725,0.48
0.5,0.425,0.125,0.37
0.57,0.325,0.925,0.63
0.74,0.525,0.725,0.69
0.3,0.925,0.125,0.37
0.78,0.725,0.525,0.69
0.56,0.825,0.625,0.63
0.79,0.625,0.725,0.74
0.38,0.425,0.625,0.46
0.31,0.625,0.425,0.41
0.79,0.225,0.325,0.54
0.41,0.325,0.525,0.43
0.37,0.725,0.325,0.43
0.58,0.825,0.825,0.7
0.52,0.525,0.325,0.46
0.42,0.825,0.725,0.59
0.31,0.125,0.625,0.37
0.62,0.525,0.325,0.51
0.4,0.325,0.225,0.33
0.73,0.425,0.425,0.58
0.8,0.525,0.125,0.54
0.77,0.725,0.325,0.63
0.37,0.125,0.325,0.31
0.41,0.725,0.525,0.51
0.3,0.725,0.825,0.54
0.46,0.125,0.525,0.41
0.36,0.925,0.225,0.43
0.62,0.725,0.625,0.64
0.34,0.525,0.525,0.43
0.54,0.625,0.725,0.61
0.31,0.825,0.725,0.54
0.41,0.325,0.925,0.55
0.55,0.525,0.325,0.48
0.7,0.925,0.725,0.75
0.65,0.125,0.725,0.57
0.56,0.725,0.725,0.64
0.72,0.425,0.125,0.48
0.62,0.825,0.325,0.57
0.37,0.725,0.225,0.4
0.74,0.125,0.925,0.67
0.69,0.325,0.525,0.57
0.59,0.725,0.525,0.6
0.35,0.325,0.925,0.52
0.69,0.325,0.125,0.45
0.3,0.525,0.225,0.32
0.69,0.925,0.325,0.63
0.45,0.425,0.925,0.59
0.76,0.625,0.425,0.63
0.37,0.125,0.225,0.28
0.76,0.825,0.125,0.58
0.59,0.125,0.225,0.39
0.38,0.225,0.625,0.42
0.51,0.825,0.825,0.67
0.4,0.425,0.125,0.32
0.39,0.425,0.225,0.35
0.32,0.325,0.425,0.35
0.36,0.925,0.725,0.58
0.72,0.725,0.125,0.54
0.52,0.625,0.825,0.63
0.51,0.525,0.925,0.64
0.33,0.325,0.925,0.51
0.34,0.125,0.525,0.35
0.45,0.725,0.125,0.41
0.4,0.725,0.925,0.62
0.69,0.325,0.925,0.69
0.37,0.325,0.725,0.47
0.71,0.425,0.225,0.51
0.49,0.625,0.225,0.44
0.71,0.425,0.825,0.69
0.78,0.925,0.725,0.79
0.58,0.925,0.225,0.54
0.49,0.725,0.825,0.64
0.55,0.525,0.825,0.63
0.78,0.725,0.125,0.57
0.76,0.625,0.725,0.72
0.68,0.325,0.725,0.62
0.53,0.925,0.725,0.67
0.37,0.725,0.225,0.4
0.57,0.325,0.425,0.48
0.8,0.125,0.425,0.55
0.5,0.825,0.325,0.51
0.78,0.725,0.225,0.6
0.52,0.925,0.825,0.69
0.8,0.125,0.325,0.52
0.64,0.525,0.825,0.67
0.38,0.925,0.925,0.65
0.41,0.925,0.725,0.61
0.73,0.325,0.625,0.62
0.39,0.725,0.425,0.47
0.61,0.425,0.825,0.64
0.5,0.125,0.625,0.46
0.54,0.125,0.425,0.42
0.68,0.325,0.325,0.5
0.69,0.825,0.225,0.58
0.4,0.625,0.625,0.51
0.37,0.525,0.525,0.45
0.45,0.125,0.825,0.5
0.5,0.625,0.625,0.56
0.43,0.925,0.525,0.56
0.6,0.325,0.825,0.61
0.8,0.425,0.725,0.7
0.54,0.125,0.725,0.51
0.46,0.425,0.625,0.5
0.7,0.725,0.425,0.62
0.6,0.525,0.325,0.5
0.52,0.425,0.225,0.41
0.69,0.425,0.125,0.47
0.76,0.325,0.825,0.69
0.46,0.725,0.225,0.44
0.45,0.225,0.425,0.4
0.52,0.625,0.425,0.51
0.64,0.525,0.825,0.67
0.77,0.525,0.325,0.59
0.44,0.825,0.825,0.63
0.38,0.225,0.825,0.48
0.71,0.225,0.725,0.62
0.76,0.325,0.425,0.57
0.38,0.225,0.225,0.3
0.44,0.625,0.525,0.5
0.78,0.325,0.925,0.73
0.32,0.325,0.425,0.35
0.36,0.325,0.925,0.52
0.64,0.225,0.925,0.64
0.62,0.725,0.125,0.49
0.39,0.625,0.425,0.45
0.3,0.325,0.225,0.28
0.52,0.225,0.825,0.55
0.62,0.825,0.925,0.75
0.64,0.825,0.825,0.73
0.47,0.825,0.825,0.65
0.48,0.525,0.725,0.56
0.54,0.325,0.725,0.55
0.74,0.725,0.525,0.67
0.51,0.625,0.125,0.42
0.51,0.225,0.525,0.46
0.76,0.325,0.325,0.54
0.57,0.225,0.325,0.43
0.78,0.925,0.425,0.7
0.48,0.325,0.225,0.37
0.6,0.725,0.525,0.6
0.72,0.725,0.725,0.72
0.68,0.225,0.125,0.42
0.45,0.625,0.925,0.63
0.47,0.525,0.725,0.56
0.39,0.525,0.625,0.49
0.54,0.125,0.325,0.39
0.3,0.825,0.725,0.53
0.4,0.825,0.725,0.58
0.71,0.325,0.925,0.7
0.58,0.125,0.225,0.38
0.35,0.725,0.225,0.39
0.63,0.725,0.825,0.71
0.39,0.125,0.225,0.29
0.41,0.925,0.825,0.64
0.45,0.725,0.125,0.41
0.47,0.225,0.625,0.47
0.37,0.125,0.125,0.25
0.39,0.525,0.825,0.55
0.54,0.825,0.425,0.56
0.45,0.725,0.925,0.65
0.34,0.625,0.925,0.57
0.55,0.825,0.425,0.57
0.58,0.625,0.225,0.48
0.66,0.325,0.625,0.58
0.68,0.925,0.925,0.8
0.38,0.525,0.925,0.57
0.78,0.125,0.825,0.66
0.72,0.625,0.825,0.73
0.66,0.525,0.725,0.65
0.72,0.225,0.625,0.59
0.31,0.725,0.225,0.37
0.35,0.725,0.625,0.51
0.63,0.325,0.925,0.66
0.45,0.125,0.725,0.47
0.59,0.725,0.925,0.72
0.45,0.725,0.725,0.59
0.6,0.225,0.825,0.59
0.7,0.225,0.725,0.61
0.37,0.725,0.225,0.4
0.63,0.525,0.625,0.61
0.32,0.625,0.625,0.47
0.48,0.425,0.625,0.51
0.64,0.925,0.325,0.6
0.34,0.525,0.725,0.49
0.56,0.525,0.625,0.57
0.33,0.325,0.825,0.48
0.79,0.525,0.225,0.57
0.56,0.525,0.225,0.45
0.47,0.225,0.225,0.35
0.39,0.425,0.225,0.35
